"Sport","Name","Height","Weight","Age"
"Swimming","Yu Hexin",194,87,20
"Swimming","Shi Jinglin",175,68,23
"Swimming","Shi Jinglin",175,68,23
"Short Track Speed Skating","Shi Jingnan",175,66,19
"Short Track Speed Skating","Shi Jingnan",175,66,19
"Diving","Shi Tingmao",159,52,24
"Diving","Shi Tingmao",159,52,24
"Weightlifting","Shi Zhiyong",168,70,22
"Water Polo","Zhang Cong",176,62,26
"Wrestling","Zhang Fengliu",172,77,26
"Shooting","Zhang Fusheng",184,68,22
"Athletics","Zhang Guowei",202,77,25
"Speed Skating","Zhang Hong",174,65,25
"Weightlifting","Long Qingquan",150,56,25
"Football","Wang Shuang",165,59,21
"Judo","Yu Song",182,128,29
"Athletics","Yu Wei",180,55,28
"Figure Skating","Zhang Kexin",153,43,18
"Figure Skating","Zhang Kexin",153,43,18
"Biathlon","Song Chaoqing",170,60,22
"Biathlon","Song Chaoqing",170,60,22
"Water Polo","Song Donglun",178,83,25
"Basketball","Shao Ting",184,75,26
"Hockey","Ou Zixia",168,61,20
"Swimming","Zhang Qibin",185,85,22
"Athletics","Feng Bin",184,95,22
"Boxing","Ren Cancan",167,51,28
"Biathlon","Ren Long",175,70,25
"Biathlon","Ren Long",175,70,25
"Athletics","Ren Mengqian",175,66,22
"Diving","Ren Qian",162,49,15
"Swimming","Cao Yue",178,72,20
"Canoeing","Ren Wenjun",175,67,24
"Canoeing","Ren Wenjun",175,67,24
"Athletics","Wang Zheng",175,105,28
"Modern Pentathlon","Zhang Xiaonan",168,58,24
"Freestyle Skiing","Zhang Xin",165,56,28
"Athletics","Zhang Xinyan",170,55,22
"Swimming","Zhang Xinyu",166,60,19
"Swimming","Zhang Xinyu",166,60,19
"Fencing","Sun Wei",193,69,23
"Snowboarding","Zhang Yiwei",172,68,21
"Swimming","Zhang Yuhan",173,60,21
"Swimming","Zhang Yuhan",173,60,21
"Athletics","Lu Xiuzhi",160,45,22
"Rowing","L Yang",183,77,22
"Shooting","Hu Binyuan",180,75,38
"Rhythmic Gymnastics","Zhao Jingnan",168,51,21
"Basketball","Zhao Jiwei",185,80,20
"Freestyle Skiing","Jia Zongyang",175,70,22
"Volleyball","Hui Ruoqi",192,78,25
"Football","Zhao Lina",188,67,24
"Shooting","Hui Zicheng",177,70,27
"Shooting","Zhao Shengbo",175,81,34
"Shooting","Wei Meng",168,56,27
"Shooting","Wei Ning",167,60,33
"Volleyball","Wei Qiuyue",182,65,27
"Athletics","Wei Yongli",168,58,24
"Athletics","Wei Yongli",168,58,24
"Shooting","Yang Haoran",176,64,20
"Hockey","Zhao Yudiao",174,68,27
"Water Polo","Zhao Zihan",172,62,22
"Table Tennis","Ding Ning",171,63,26
"Table Tennis","Ding Ning",171,63,26
"Volleyball","Ding Xia",180,67,26
"Basketball","Ding Yanyuhang",200,91,22
"Fencing","Jiao Yunlong",190,87,28
"Judo","Yang Junxia",169,63,27
"Football","Gao Chen",170,58,23
"Speed Skating","Bai Qiuming",173,70,19
"Trampolining","Gao Lei",170,64,24
"Biathlon","Sung Na",166,62,18
"Alpine Skiing","Xia Lina",160,60,26
"Tennis","Peng Shuai",173,61,30
"Rowing","Sun Man",188,70,20
"Swimming","Sun Meichen",175,63,17
"Basketball","Sun Mengran",195,83,24
"Basketball","Sun Mengxin",190,84,23
"Cross Country Skiing","Sun Qinghai",188,83,26
"Cross Country Skiing","Sun Qinghai",188,83,26
"Canoeing","Shu Jianming",180,75,26
"Synchronized Swimming","Sun Wenyan",170,58,26
"Synchronized Swimming","Sun Wenyan",170,58,26
"Hockey","Sun Xiao",167,57,24
"Swimming","Zhou Min",172,64,18
"Gymnastics","Lin Chaopan",163,60,20
"Swimming","Sun Yang",198,89,24
"Swimming","Sun Yang",198,89,24
"Swimming","Ai Yanhan",168,54,14
"Swimming","Ai Yanhan",168,54,14
"Fencing","Sun Yujie",185,78,23
"Fencing","Sun Yujie",185,78,23
"Snowboarding","Sun Zhifeng",158,58,22
"Badminton","Lin Dan",177,70,32
"Curling","Zhou Yan",162,60,31
"Short Track Speed Skating","Zhou Yang",165,62,22
"Short Track Speed Skating","Zhou Yang",165,62,22
"Gymnastics","You Hao",162,60,24
"Swimming","Zhou Yilin",175,63,23
"Canoeing","Zhou Yu",174,67,27
"Canoeing","Zhou Yu",174,67,27
"Athletics","Dong Bin",180,74,27
"Rowing","Pan Feihong",173,57,27
"Shooting","Zhu Qinan",183,75,31
"Shooting","Pan Qiang",185,85,31
"Volleyball","Zhu Ting",198,78,21
"Diving","Lin Yue",163,53,25
"Water Polo","Ma Huanhuan",178,66,26
"Badminton","Ma Jin",167,58,28
"Rowing","Zhang Min",180,84,23
"Biathlon","Sung Na",166,62,18
"Canoeing","Liu Haiping",173,69,28
"Cycling","Liu Hao",189,79,27
"Athletics","Liu Hong",160,50,29
"Synchronized Swimming","Zeng Zhen",170,61,22
"Diving","Liu Huixia",157,48,18
"Weightlifting","Chen Lijun",162,65,23
"Short Track Speed Skating","Liu Qiuhong",163,56,25
"Athletics","Wang Jianan",185,72,19
"Football","Li Ying",170,61,23
"Curling","Liu Rui",182,75,31
"Athletics","Cai Zelin",175,55,25
"Wrestling","Zhou Feng",175,71,22
"Football","Gu Yasha",165,60,25
"Swimming","He Jianbin",188,83,23
"Swimming","Liu Xiang",180,66,19
"Swimming","Zhang Yufei",174,57,18
"Swimming","Shi Jinglin",175,68,23
"Snowboarding","Shi Wancheng",179,78,23
"Shooting","Zhang Binbin",164,55,27
"Gymnastics","Zhang Chenglong",173,65,27
"Hockey","Liang Meiyu",166,63,22
"Fencing","Liu Yongshi",176,62,26
"Tennis","Wang Qiang",172,60,24
"Speed Skating","Zhao Xin",175,70,21
"Golf","Wu Ashun",183,81,31
"Freestyle Skiing","Liu Zhongqing",175,72,28
"Boxing","Zhang Jiawei",172,56,27
"Swimming","Wang Shun",191,74,22
"Short Track Speed Skating","Wu Dajing",182,73,19
"Short Track Speed Skating","Wu Dajing",182,73,19
"Short Track Speed Skating","Wu Dajing",182,73,19
"Fencing","Hao Jialu",176,66,28
"Shooting","Zhang Jingjing",164,63,27
"Hockey","Zhang Jinrong",163,58,19
"Football","Wu Haiyan",166,58,23
"Sailing","Wang Wei",180,70,28
"Boxing","Shan Jun",172,60,21
"Curling","Zang Jialiang",175,70,26
"Taekwondo","Wu Jingyu",167,51,29
"Gymnastics","Shang Chunsong",143,34,20
"Gymnastics","Shang Chunsong",143,34,20
"Gymnastics","Shang Chunsong",143,34,20
"Gymnastics","Shang Chunsong",143,34,20
"Swimming","Shang Keyuan",183,79,21
"Rhythmic Gymnastics","Shang Rong",170,45,16
"Rhythmic Gymnastics","Zhang Ling",172,51,23
"Rowing","Zhang Ling",182,75,19
"Shooting","Zhang Mengxue",162,70,25
"Diving","Wu Minxia",167,52,30
"Badminton","Zhang Nan",183,75,26
"Badminton","Zhang Nan",183,75,26
"Short Track Speed Skating","Chen Dequan",176,66,18
"Short Track Speed Skating","Chen Dequan",176,66,18
"Athletics","Zhang Peimeng",186,78,29
"Athletics","Zhang Peimeng",186,78,29
"Hockey","Wu Qiong",167,59,27
"Gymnastics","Wang Yan",140,33,16
"Gymnastics","Wang Yan",140,33,16
"Athletics","Wu Shuijiao",161,53,25
"Football","Zhang Rui",172,62,27
"Tennis","Zhang Shuai",177,66,27
"Speed Skating","Zhang Shuang",172,70,27
"Water Polo","Zhang Weiwei",182,66,25
"Athletics","Zhang Wenxiu",183,105,30
"Wrestling","Meng Qiang",186,122,29
"Figure Skating","Yan Han",169,64,17
"Figure Skating","Yan Han",169,64,17
"Hockey","Zhang Xiaoxue",162,51,23
"Rowing","Zhang Xinyue",177,73,23
"Basketball","Chen Nan",195,94,33
"Biathlon","Tang Jialin",168,60,22
"Biathlon","Zhang Yan",163,55,21
"Biathlon","Zhang Yan",163,55,21
"Biathlon","Zhang Yan",163,55,21
"Biathlon","Zhang Yan",163,55,21
"Diving","Chen Ruolin",160,47,23
"Basketball","Zhou Qi",217,95,20
"Alpine Skiing","Zhang Yuxin",177,70,24
"Trampolining","He Wenna",160,50,27
"Basketball","Chen Xiaojia",182,68,28
"Cycling","Zhao Baofang",170,64,22
"Judo","Sai Yinjirigala",175,73,26
"Rowing","Zhao Jingbin",185,72,26
"Boxing","Zhao Minggang",185,75,28
"Taekwondo","Zhao Shuai",188,63,20
"Badminton","Zhao Yunlei",173,60,29
"Basketball","Zhao Zhifang",168,57,21
"Athletics","Qieyang Shenjie",160,45,25
"Diving","Chen Aisen",168,60,20
"Athletics","Su Bingtian",173,70,26
"Rhythmic Gymnastics","Bao Yuqing",173,55,22
"Cycling","Ma Menglu",167,61,18
"Basketball","Gao Song",190,85,24
"Athletics","Gao Xinglong",182,63,22
"Basketball","Li Gen",196,110,27
"Freestyle Skiing","Cheng Shuang",162,46,26
"Judo","Cheng Xunzhao",185,90,25
"Tennis","Zheng Saisai",170,62,22
"Taekwondo","Zheng Shuyin",188,75,22
"Figure Skating","Zheng Xun",188,75,26
"Figure Skating","Zheng Xun",188,75,26
"Cross Country Skiing","Li Hongxue",160,52,29
"Cross Country Skiing","Li Hongxue",160,52,29
"Modern Pentathlon","Guo Jianli",178,73,28
"Synchronized Swimming","Guo Li",167,54,23
"Volleyball","Gong Xiangyu",186,72,19
"Swimming","Xin Xin",169,61,19
"Shooting","Wang Zhiwei",178,77,28
"Cycling","Zhong Tianshi",168,62,25
"Cycling","Zhong Tianshi",168,62,25
"Cycling","Zhong Tianshi",168,62,25
"Wrestling","Zhong Xuechun",166,55,22
"Swimming","Ning Zetao",191,81,23
"Judo","Zhou Chao",170,70,29
"Archery","Gu Xuesong",178,76,23
"Diving","He Chao",168,57,24
"Swimming","Zhou Min",172,64,18
"Basketball","Zhou Peng",206,102,26
"Swimming","Li Zhuhao",183,73,17
"Freestyle Skiing","Xu Mengtao",165,59,23
"Weightlifting","Tian Tao",172,85,22
"Athletics","Xu Xiaolong",185,70,23
"Table Tennis","Xu Xin",180,67,26
"Fencing","Lei Sheng",193,77,32
"Fencing","Lei Sheng",193,77,32
"Sailing","Xu Zangjun",175,65,24
"Trampolining","Dong Dong",168,57,27
"Athletics","Dong Guojian",170,55,29
"Swimming","Dong Jie",170,62,17
"Water Polo","Mei Xiaohan",180,100,19
"Golf","Lin Xiyu",168,65,20
"Rowing","Zhu Weiwei",180,70,26
"Athletics","Bian Ka",182,115,23
"Basketball","Wu Di",182,75,22
"Diving","Qin Kai",170,65,30
"Water Polo","Yang Jun",180,69,28
"Diving","Cao Yuan",160,42,21
"Football","Yang Li",167,58,25
"Speed Skating","Li Dan",166,62,27
"Cycling","Gong Jinjie",165,65,29
"Diving","Chen Aisen",168,60,20
"Archery","Wu Jiaxin",164,72,19
"Archery","Wu Jiaxin",164,72,19
"Judo","Ma Duanbin",174,66,26
"Fencing","Ma Jianfei",186,78,32
"Sailing","Wang Xiaoli",169,70,34
"Basketball","Huang Sijing",190,82,20
"Athletics","Su Bingtian",173,70,26
"Canoeing","Ma Qing",174,68,23
"Canoeing","Ma Qing",174,68,23
"Football","Ma Xiaoxu",172,73,28
"Archery","Gu Xuesong",178,76,23
"Judo","Ma Yingnan",158,52,32
"Cycling","Gong Jinjie",165,65,29
"Cycling","Gong Jinjie",165,65,29
"Sailing","Gong Lei",185,88,33
"Weightlifting","Meng Suping",173,123,27
"Football","Pang Fengyue",165,59,27
"Gymnastics","Liu Yang",162,61,21
"Rowing","Duan Jingli",180,76,27
"Snowboarding","Cai Xuetong",162,60,20
"Synchronized Swimming","Gu Xiao",174,60,23
"Basketball","Zhai Xiaochuan",204,100,23
"Sailing","Xu Lijia",176,60,28
"Swimming","Sun Yang",198,89,24
"Wrestling","Xu Rui",170,63,21
"Trampolining","Li Dan",155,47,27
"Volleyball","Zhang Changning",193,79,20
"Athletics","Ge Manqi",162,52,18
"Diving","He Zi",159,51,25
"Curling","Wang Bingyu",164,65,29
"Canoeing","Tan Ya",174,70,24
"Gymnastics","Liu Yang",162,61,21
"Gymnastics","Liu Yang",162,61,21
"Swimming","Liu Yaxin",178,69,17
"Freestyle Skiing","Qi Guangpu",170,65,23
"Volleyball","Yang Fangxu",190,71,21
"Athletics","Xue Changrui",188,75,25
"Fencing","Chen Haiwei",188,78,21
"Fencing","Chen Haiwei",188,78,21
"Freestyle Skiing","Wu Chao",175,69,26
"Athletics","Zhu Renxue",170,50,25
"Table Tennis","Zhang Jike",178,70,28
"Table Tennis","Zhang Jike",178,70,28
"Water Polo","Zhang Jing",166,62,20
"Cycling","Qin Chenlu",175,70,23
"Speed Skating","Wang Beixing",174,66,28
"Speed Skating","Wang Beixing",174,66,28
"Hockey","Wang Mengyu",170,71,24
"Gymnastics","Shang Chunsong",143,34,20
"Badminton","Chen Long",188,81,27
"Athletics","Chen Ding",175,62,23
"Wrestling","Xiao Di",185,100,25
"Badminton","Wang Yihan",178,65,28
"Athletics","Xie Wenjun",190,87,26
"Swimming","Wu Yuhang",178,72,19
"Gymnastics","Zhang Chenglong",173,65,27
"Sailing","Chen Peina",172,63,27
"Wrestling","Bi Shengfeng",183,87,27
"Hockey","Cui Qiuxia",166,63,25
"Swimming","Yan Zibei",190,75,20
"Swimming","Ning Zetao",191,81,23
"Rhythmic Gymnastics","Shu Siyao",167,52,23
"Archery","Qi Yuhong",166,78,26
"Rowing","Jiang Yan",178,70,27
"Short Track Speed Skating","Fan Kexin",170,55,20
"Gymnastics","Fan Yilin",148,37,16
"Gymnastics","Tan Jiaxin",148,36,19
"Cross Country Skiing","Xu Wenlong",172,70,26
"Diving","Cao Yuan",160,42,21
"Wrestling","Yang Bin",180,80,27
"Beach Volleyball","Wang Fan",188,73,22
"Shooting","Cao Yifei",175,75,28
"Fencing","Sun Yiwen",177,63,24
"Weightlifting","Yang Zhe",187,105,25
"Water Polo","Xiong Dunhan",181,83,17
"Alpine Skiing","Xia Lina",160,60,26
"Fencing","Le Huilin",172,62,27
"Shooting","Pang Wei",178,77,30
"Figure Skating","Peng Cheng",157,41,16
"Wrestling","Peng Fei",184,89,24
"Water Polo","Peng Lin",183,73,21
"Cycling","Shen Pingan",182,73,22
"Swimming","Ye Shiwen",173,64,20
"Archery","Wang Dapeng",184,95,19
"Short Track Speed Skating","Fan Kexin",170,55,20
"Cycling","Fan Yang",183,78,26
"Basketball","Guo Ailun",192,85,22
"Swimming","Li Zhuhao",183,73,17
"Water Polo","Sun Yating",180,76,28
"Cycling","Yao Ping",160,58,23
"Figure Skating","Li Zijun",161,45,17
"Shooting","Cao Yifei",175,75,28
"Athletics","Gong Lijiao",175,105,27
"Gymnastics","Zhang Chenglong",173,65,27
"Badminton","Xu Chen",188,82,31
"Gymnastics","Zhang Chenglong",173,65,27
"Volleyball","Lin Li",171,70,24
"Biathlon","Sung Na",166,62,18
"Cycling","Xu Chao",185,82,21
"Synchronized Swimming","Tang Mengni",169,59,22
"Archery","Wang Dapeng",184,95,19
"Short Track Speed Skating","Fan Kexin",170,55,20
"Wrestling","Sun Yanan",161,51,23
"Athletics","Yao Jie",188,85,25
"Football","Tan Ruyin",165,59,22
"Modern Pentathlon","Cao Zhongrong",180,73,34
"Basketball","Sui Ran",193,96,24
"Swimming","Zu Lijun",188,87,26
"Swimming","Shen Duo",180,72,19
"Athletics","Su Xinyue",178,94,24
"Badminton","Chai Biao",186,80,25
"Swimming","Ye Shiwen",173,64,20
"Gymnastics","Wang Yan",140,33,16
"Swimming","Wang Shun",191,74,22
"Gymnastics","Tan Jiaxin",148,36,19
"Speed Skating","Tian Guojun",188,84,23
"Speed Skating","Tian Guojun",188,84,23
"Shooting","Du Li",170,55,34
"Athletics","Wang Yu",190,65,24
"Volleyball","Xu Yunli",195,75,29
"Gymnastics","Fan Yilin",148,37,16
"Fencing","Shen Chen",171,62,26
"Swimming","Shen Duo",180,72,19
"Gymnastics","Fan Yilin",148,37,16
"Swimming","Chen Jie",177,65,21
"Golf","Feng Shanshan",170,85,26
"Biathlon","Tang Jialin",168,60,22
"Biathlon","Tang Jialin",168,60,22
"Shooting","Chen Fang",171,60,32
"Hockey","Wang Na",166,59,21
"Fencing","Sun Yiwen",177,63,24
"Shooting","Guo Wenjun",168,60,32
"Archery","Xing Yu",188,90,25
"Volleyball","Yan Ni",192,74,29
"Modern Pentathlon","Chen Qian",163,54,29
"Gymnastics","Fan Yilin",148,37,16
"Badminton","Hong Wei",192,86,26
"Hockey","Song Qingling",174,69,30
"Gymnastics","Wang Yan",140,33,16
"Athletics","Wang Chunyu",175,55,21
"Athletics","Xie Zhenye",184,78,22
"Archery","Cao Hui",175,70,24
"Archery","Cao Hui",175,70,24
"Shooting","Du Li",170,55,34
"Athletics","Cao Shuo",180,77,24
"Cycling","Luo Xiaoling",170,68,27
"Water Polo","Niu Guannan",177,68,24
"Athletics","Gao Yang",178,105,23
"Swimming","Mao Feilian",185,74,23
"Rowing","Wang Chunxin",180,70,18
"Archery","Xing Yu",188,90,25
"Figure Skating","Tong Jian",179,75,34
"Shooting","Pu Qifeng",184,80,30
"Swimming","Yu Hexin",194,87,20
"Tennis","Xu Yifan",165,60,27
"Swimming","Shen Duo",180,72,19
"Rhythmic Gymnastics","Yang Ye",177,50,22
"Curling","Liu Yin",165,60,32
"Athletics","Xie Zhenye",184,78,22
"Biathlon","Tang Jialin",168,60,22
"Fencing","Xu Anqi",182,76,24
"Boxing","L Bin",165,49,21
"Shooting","Pang Wei",178,77,30
"Swimming","Wang Xueer",178,67,18
"Wrestling","Wang Lumin",170,67,25
"Figure Skating","Peng Cheng",157,41,16
"Basketball","Yi Jianlian",213,113,28
"Volleyball","Liu Xiaotong",188,70,26
"Weightlifting","Xiang Yanmei",163,69,24
"Badminton","Luo Ying",164,62,25
"Tennis","Zhang Shuai",177,66,27
"Triathlon","Wang Lianyuan",167,60,21
"Wrestling","Katai Yeerlanbieke",169,77,26
"Badminton","Luo Yu",164,66,25
"Athletics","Marie-Jose Ta Lou",159,50,27
"Athletics","Marie-Jose Ta Lou",159,50,27
"Fencing","Gbahi Gwladys Sakoa",171,64,23
"Judo","Zoulehia Abzetta Dabonne",175,57,23
"Athletics","Ben Youssef Mit",180,75,29
"Archery","Ren Philippe Kouassi",190,83,36
"Swimming","Thibaut Amani Danho",185,82,22
"Swimming","Talita Marie Te Flan",176,63,21
"Athletics","Hua Wilfried Serge Koffi",186,88,28
"Athletics","Hua Wilfried Serge Koffi",186,88,28
"Taekwondo","Ruth Marie Christelle Gbagbi",176,65,22
"Taekwondo","Cheick Sallah Ciss Junior",186,80,22
"Athletics","Murielle Ahour",165,58,28
"Athletics","Murielle Ahour",165,58,28
"Wrestling","Annabel Laure Ali",176,75,31
"Volleyball","Victoire Pauline L'or Ngon Ntame",177,79,30
"Volleyball","Stphanie Fotso Mogoung",184,78,28
"Judo","Hortence Vanessa Mballa Atangana",171,78,24
"Weightlifting","Arcangeline Fouodji Sonkbou",158,69,28
"Wrestling","Rebecca Ndolo Muambo",152,48,31
"Boxing","Simplice Fotsala",154,49,27
"Boxing","Dieudonn Wilfred Seyi Ntsengue",183,75,18
"Boxing","Mahaman Smaila",178,64,30
"Volleyball","Christelle Nana Tchoudjang",184,80,27
"Volleyball","Berthrade Simone Flore Bikatal",183,76,24
"Volleyball","Madeleine Samantha Bodo Essissima",182,75,24
"Weightlifting","Petit David Minkoumba",171,94,27
"Athletics","Auriol Dongmo Mekemnang",173,95,26
"Volleyball","Henriette Nadege Koulla",169,67,23
"Boxing","Hassan N'Dam N'Jikam",182,75,32
"Wrestling","Joseph milienne Essombe Tiako",159,55,28
"Athletics","Jolle Sandrine Mbumi Nkouindjin",170,63,30
"Volleyball","Rassa Nasser",173,73,26
"Volleyball","Thorine Christelle Aboa Mbeza",182,78,23
"Volleyball","Latitia Crescence Moma Bassoko",184,80,22
"Volleyball","Fawziya Abdoulkarim",180,67,27
"Taekwondo","Rosa Keleku Lukusa",163,48,21
"Swimming","Wesley Tikiariki Roberts",188,74,19
"Sailing","Peter Taua Elisa Henry",170,82,25
"Canoeing","Bryden Nicholas",170,70,27
"Weightlifting","Luisa Fatiaki Taitapu Peters",165,101,23
"Sailing","Teau Moana McKenzie",183,67,21
"Swimming","Tracy Keith-Matchitt",167,60,26
"Canoeing","Ella Rose Vaiora Nicholas",160,62,25
"Athletics","Patricia Nooroa ""Pat"" Taea",170,67,23
"Athletics","Alex Beddoes",181,74,21
"Weightlifting","scar Albeyro Figueroa Mosquera",159,62,33
"Weightlifting","Andrs Mauricio Caicedo Piedrahita",174,75,18
"Swimming","Jorge Mario Murillo Valdes",186,77,24
"Athletics","Jhon Alejandro Perlaza Zapata",180,62,21
"Cycling","Sergio Luis Henao Montoya",170,61,28
"Wrestling","Carlos Andrs Muoz Jaramillo",180,75,24
"Football","Tefilo Antonio Gutirrez Roncancio",180,72,31
"Swimming","Jorge Mario Murillo Valdes",186,77,24
"Football","William Jos Tesillo Gutirrez",184,78,26
"Athletics","Anthony Jos Zambrano de la Cruz",184,72,18
"Weightlifting","Ubaldina Valoyes Cuesta",162,75,34
"Boxing","Juan Carlos Carrillo Palacio",184,81,23
"Football","ngela Corina Clavijo Silva",163,59,22
"Athletics","Jos Leonardo Montaa Arevalo",174,65,24
"Athletics","Jhon Fredy Murillo Murillo",183,84,32
"Synchronized Swimming","Mnica Sarai Arango Estrada",165,60,24
"Football","Liana Milena Salazar Vergara",169,56,23
"Athletics","Yeseida Isaid Carrillo Torres",168,52,22
"Equestrianism","Daniel Bluman Doron",182,72,26
"Archery","Ana Mara Rendn Martnez",160,63,30
"Athletics","James Aurelio Rendn Villegas",170,64,31
"Rugby Sevens","Mara Camila Lopera Valle",154,54,21
"Football","Leicy Maria Santos Herrera",154,56,20
"Rugby Sevens","Cindy Solangie Delgado Buitrago",155,57,26
"Swimming","Omar Andrs Pinzn Garca",185,85,27
"Table Tennis","Lady Yavelly Ruano Pinilla",157,52,35
"Archery","Ana Mara Rendn Martnez",160,63,30
"Football","Cristian Alexis Borja Gonzalz",179,72,23
"Cycling","Fabin Hernando Puerta Zapata",182,90,25
"Cycling","Ana Cristina Sanabria Snchez",156,51,26
"Equestrianism","Ren Lpez Lizarazo",168,70,52
"Football","Wilmar Enrique Barrios Tern",179,70,22
"Athletics","Gerard Nicolas Giraldo Villa",174,60,27
"Fencing","John dison Rodrguez Quevedo",205,102,25
"Weightlifting","Mercedes Isabel Prez Tigreros",165,63,28
"Football","Orinica Velsquez Herrera",171,65,27
"Rugby Sevens","Nicole Jocelin Acevedo Tangarife",166,70,21
"Football","Harold Fabin Preciado Villareal",182,70,22
"Athletics","Angie Orjuela Soche",158,46,27
"Synchronized Swimming","Estefana lvarez Piedrahita",162,60,21
"Football","Deiver Andrs Machado Mena",172,71,22
"Rugby Sevens","Isabel Cristina Romero Benitez",161,62,20
"Athletics","Brigitte Mara Merlano Pjaro",174,65,34
"Rugby Sevens","Sharon Evelin Acevedo Tangarife",170,61,23
"Athletics","Andrs Ruz Malaver",164,64,28
"Weightlifting","Edwin Orlando MosqueraRoa",165,69,31
"Rugby Sevens","Ana Catalina Ramrez Talero",168,69,24
"Football","Jefferson Andrs Lerma Sols",179,70,21
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Athletics","Bernardo Baloyes Navas",168,66,22
"Athletics","Yeison Javier Rivas Rivas",173,66,28
"Cycling","Martha Bayona Pineda",155,60,20
"Archery","Carolina Aguirre Giraldo",160,59,20
"Boxing","Ingrit Lorena Valencia Victoria",160,50,27
"Shooting","Danilo Caro Guarnieri",175,74,50
"Cycling","Mariana Pajn Londoo",158,50,24
"Football","Diana Carolina Ospina Garca",157,64,27
"Archery","Natalia Snchez Echeverri",166,63,33
"Swimming","Isabella Arcila Hurtado",168,64,22
"Rugby Sevens","Guadalupe de la Cruz Lpez Botero",165,58,28
"Diving","Sebastin Villa Castaeda",164,54,24
"Football","Natalia Gaitn Laguado",164,63,25
"Gymnastics","Catalina Elena Escobar Gmez",156,50,25
"Wrestling","Carolina Castillo Hidalgo",157,48,25
"Boxing","Jorge Lus Vivas Palacios",172,69,28
"Athletics","ider Orlando Arvalo Truque",165,60,23
"Football","Cristian Harson Bonilla Garzn",188,85,23
"Archery","Andrs Manuel Pila Solano",174,74,25
"Rugby Sevens","Estefana Ramrez Castillo",168,69,24
"Athletics","Eliecith Palacios Santos",170,64,28
"Cycling","Fabin Hernando Puerta Zapata",182,90,25
"Athletics","Kellys Yesenia Arias Figueroa",150,47,27
"Football","Ingrid Julieth Vidal Isaza",159,54,25
"Rugby Sevens","Laura Isabel Gonzlez Gonzlez",161,61,23
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Boxing","Yurberjen Herney Martnez Rivas",165,49,24
"Diving","Diana Isabel Pineda Zuletra",167,55,31
"Athletics","rika Abril Surez",164,52,38
"Cycling","Jarlinson Pantano Gmez",173,60,27
"Football","Dorlan Mauricio Pabn Ros",168,68,28
"Cycling","Carlos Alberto Ramrez Yepes",178,65,22
"Football","Kevin Alexander Balanta Licum",179,73,19
"Football","Helibelton Palacios Zapata",177,75,23
"Weightlifting","Lus Javier Mosquera Lozano",165,64,21
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Athletics","Manuel Esteban Soto Ruz",170,62,22
"Rugby Sevens","Claudia Alejandra Betancur Suescun",160,82,29
"Football","Mara Catalina Usme Pineda",163,65,26
"Athletics","Caterine Ibargn Mena",185,70,32
"Tennis","Juan Sebastin Cabal Valds",185,82,30
"Athletics","Sandra Milena Lemos-Rivas",170,100,27
"Cycling","Carlos Mario Oquendo Zabala",186,85,28
"Diving","Sebastin Morales Mendoza",171,65,21
"Football","Sebastin Prez Cadona",175,70,23
"Sailing","Santiago Enrique Grillo Diez",185,74,29
"Athletics","Jorge Armando Ruz Fajardo",168,58,27
"Football","Arley Jos Rodrguez Henry",176,70,23
"Cycling","Jhonnatan Botero Villegas",167,58,24
"Athletics","Carlos Andrs Lemos Romaa",183,76,28
"Judo","Yadinis Amars Rocha",162,57,32
"Athletics","Rafith Rodrguez Lleneres",190,75,27
"Wrestling","Jackeline Rentera Castillo",167,58,30
"Cycling","Miguel ngel Lpez Moreno",170,58,22
"Weightlifting","Leydi Yesenia Sols Arboleda",168,69,26
"Cycling","Fernando Gaviria Rendn",180,70,21
"Athletics","Flor Denis Ruz Hurtado",172,67,25
"Taekwondo","Oscar Luis Muoz Oviedo",178,58,23
"Athletics","Muriel Coneo Paredes",160,50,29
"Cycling","Santiago Ramrez Morales",180,82,22
"Wrestling","Carlos Arturo Izquierdo Mndez",182,74,18
"Fencing","Saskia Loretta van Erven Garca",175,64,28
"Football","Deivy Alexander Balanta Abona",180,77,23
"Archery","Natalia Snchez Echeverri",166,63,33
"Football","Sandra Milena Seplveda Lopera",167,55,28
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Athletics","Diego Alberto Colorado Agudelo",171,57,42
"Football","Katherine Nataly Arias Pea",172,62,30
"Judo","Yuri Alvear Orjuela",176,70,30
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Football","Tatiana Ariza Daz",161,52,25
"Weightlifting","Lina Marcela Rivas Ordez",159,58,26
"Football","Andrs Felipe Roa Estrada",175,68,23
"Gymnastics","Jossimar Orlando Calvo Moreo",160,54,22
"Football","Isabella Echeverri Restrepo",172,66,22
"Archery","Carolina Aguirre Giraldo",160,59,20
"Weightlifting","Habib de las Salas de la Rosa",159,56,29
"Football","Nicole Regnier Palacios",170,62,21
"Rugby Sevens","Nathalie Nicole Viviane Marchino Urrutia",170,63,35
"Gymnastics","Catalina Elena Escobar Gmez",156,50,25
"Football","Lady Patricia Andrade Rodrguez",172,62,24
"Athletics","Yosiry Urrutia Chaverra",176,65,30
