Country,Bronze Count,Silver Count,Gold Count
USA,791,901,1131
Russia,589,600,727
Germany,596,592,578
UK,310,320,289
France,329,286,264
Italy,241,225,256
Sweden,242,215,200
China,173,185,240
Australia,201,174,156
Hungary,176,156,178
Japan,179,151,152
Canada,189,160,126
Norway,148,159,167
Finland,177,148,146
Netherlands,149,133,125
Switzerland,116,122,108
Austria,123,118,85
South Korea,98,102,116
Poland,141,94,75
Romania,121,95,88
